region_id,region_name,region_pcode,rural_row,urban_row,rural_lat,rural_lon,urban_lat,urban_lon,distance_km
1,Analamanga,MDG0101,1,2,-18.410205560803448,47.41091787445566,-18.51875380329259,47.51946611694523,17.039654033723323
2,Bongolava,MDG0102,3,4,-18.575960744299085,46.137086642749004,-18.68660156517494,46.247727463624834,17.368142187252595
3,Itasy,MDG0103,5,6,-19.049867352376243,46.88640675636621,-19.10071917190108,46.95073636997489,9.10213992391928
4,Vakinankaratra,MDG0104,7,8,-19.718437231367908,46.824608068347814,-19.829653390619967,46.93582422759944,17.458457485359194
5,Diana,MDG0201,9,10,-13.332021260568641,48.91375559676795,-13.447460186239388,49.029194522438715,18.1213376683393
6,Sava,MDG0202,11,12,-14.29988938546844,49.81264120277324,-14.42553169624938,49.937264521584844,19.64322496317122
7,Amoron'i mania,MDG0301,13,14,-20.48318968983508,46.67842862655829,-20.589901172694734,46.78514010941769,16.751323721618235
8,Atsimo-Atsinana,MDG0302,15,16,-23.28466399226138,47.238545396118596,-23.39231675274636,47.34619815660355,16.899083323426492
9,Haute matsiatra,MDG0303,17,18,-21.430838373046146,46.5874094439124,-21.551112768166604,46.707683839032875,18.880398567199812
10,Ihorombe,MDG0304,19,20,-22.50796884741965,46.132417753485456,-22.629518968418985,46.277110417908865,20.97588679247576
11,Vatovavy Fitovinany,MDG0305,21,22,-21.336986370677227,47.85246453161328,-21.456635258362926,47.97211341929848,18.7822078453257
12,Betsiboka,MDG0401,23,24,-17.211802659656406,46.98308255632137,-17.3530611109612,47.124341007626306,22.174427557502586
13,Boeny,MDG0402,25,26,-16.2566272664993,46.20349501756799,-16.398954545042347,46.34582229611023,22.342209604783147
14,Melaky,MDG0403,27,28,-17.69767441982986,44.79180437268478,-17.863785543278446,44.957963842974216,26.07953796840703
15,Sofia,MDG0404,29,30,-15.324488103404322,48.274900077693054,-15.509463169198657,48.45987514348736,29.036961388937282
16,Alaotra-Mangoro,MDG0501,31,32,-17.91043310981936,48.30821442489216,-18.04465979983079,48.44044076335327,20.914181843575868
17,Analanjirofo,MDG0502,33,34,-16.375328614171334,49.348950075600776,-16.496448340760967,49.47006980219044,19.013096761554046
18,Atsinanana,MDG0503,35,36,-19.089275351970443,48.6758225018412,-19.21496475531669,48.80369321162864,19.902378787891216
19,Androy,MDG0601,37,38,-24.810204555551387,45.42762226121049,-24.925625713002933,45.543043418662215,18.118548454072513
20,Anosy,MDG0602,39,40,-23.97212079504277,46.243362809776,-24.1229959475865,46.3833318216389,22.84406858200605
21,Atsimo-Andrefana,MDG0603,41,42,-23.034521769390693,44.409121980164564,-23.2505705638502,44.62517077462419,33.91484401375729
22,Menabe,MDG0604,43,44,-20.21240638582787,44.87713830405948,-20.39581389243403,45.060545810665545,28.79088954445738
