MIDAS_ROW,NAME_2,ADM2_PCODE,URBAN_RURAL,Latitude,Longitude,AREA_KM2,PAIR_DIST_KM
1,Analamanga_Rural,MDG0101-R,Rural,-18.410205560803448,47.41091787445566,16456.318498876422,17.039654033723323
2,Analamanga_Urban,MDG0101-U,Urban,-18.51875380329259,47.51946611694523,1814.6087275309756,17.039654033723323
3,Bongolava_Rural,MDG0102-R,Rural,-18.575960744299085,46.137086642749004,17096.919640140455,17.368142187252595
4,Bongolava_Urban,MDG0102-U,Urban,-18.68660156517494,46.247727463624834,1885.2466665015727,17.368142187252595
5,Itasy_Rural,MDG0103-R,Rural,-19.049867352376243,46.88640675636621,6220.5101613166435,9.10213992391928
6,Itasy_Urban,MDG0103-U,Urban,-19.10071917190108,46.95073636997489,599.9549482061037,9.10213992391928
7,Vakinankaratra_Rural,MDG0104-R,Rural,-19.718437231367908,46.824608068347814,17275.191802516812,17.458457485359194
8,Vakinankaratra_Urban,MDG0104-U,Urban,-19.829653390619967,46.93582422759944,1904.9044181272652,17.458457485359194
9,Diana_Rural,MDG0201-R,Rural,-13.332021260568641,48.91375559676795,18611.940032770697,18.1213376683393
10,Diana_Urban,MDG0201-U,Urban,-13.447460186239388,49.029194522438715,2052.3052481060986,18.1213376683393
11,Sava_Rural,MDG0202-R,Rural,-14.29988938546844,49.81264120277324,22097.3038169932,19.64322496317122
12,Sava_Urban,MDG0202-U,Urban,-14.42553169624938,49.937264521584844,2425.935601372185,19.64322496317122
13,Amoron'i mania_Rural,MDG0301-R,Rural,-20.48318968983508,46.67842862655829,15904.111128192862,16.751323721618235
14,Amoron'i mania_Urban,MDG0301-U,Urban,-20.589901172694734,46.78514010941769,1753.717811113827,16.751323721618235
15,Atsimo-Atsinana_Rural,MDG0302-R,Rural,-23.28466399226138,47.238545396118596,16185.921629414383,16.899083323426492
16,Atsimo-Atsinana_Urban,MDG0302-U,Urban,-23.39231675274636,47.34619815660355,1784.7925496746664,16.899083323426492
17,Haute matsiatra_Rural,MDG0303-R,Rural,-21.430838373046146,46.5874094439124,20203.818330565144,18.880398567199812
18,Haute matsiatra_Urban,MDG0303-U,Urban,-21.551112768166604,46.707683839032875,2227.838813073378,18.880398567199812
19,Ihorombe_Rural,MDG0304-R,Rural,-22.50796884741965,46.132417753485456,25615.15922378731,20.97588679247576
20,Ihorombe_Urban,MDG0304-U,Urban,-22.629518968418985,46.277110417908865,2636.9335610751577,20.97588679247576
21,Vatovavy Fitovinany_Rural,MDG0305-R,Rural,-21.336986370677227,47.85246453161328,19994.218000299676,18.7822078453257
22,Vatovavy Fitovinany_Urban,MDG0305-U,Urban,-21.456635258362926,47.97211341929848,2204.72656055959,18.7822078453257
23,Betsiboka_Rural,MDG0401-R,Rural,-17.211802659656406,46.98308255632137,27868.652668832623,22.174427557502586
24,Betsiboka_Urban,MDG0401-U,Urban,-17.3530611109612,47.124341007626306,3073.026349170772,22.174427557502586
25,Boeny_Rural,MDG0402-R,Rural,-16.2566272664993,46.20349501756799,28291.982601973734,22.342209604783147
26,Boeny_Urban,MDG0402-U,Urban,-16.398954545042347,46.34582229611023,3119.7061816834616,22.342209604783147
27,Melaky_Rural,MDG0403-R,Rural,-17.69767441982986,44.79180437268478,38567.101384228146,26.07953796840703
28,Melaky_Urban,MDG0403-U,Urban,-17.863785543278446,44.957963842974216,4251.950166174629,26.07953796840703
29,Sofia_Rural,MDG0404-R,Rural,-15.324488103404322,48.274900077693054,47787.40776658488,29.036961388937282
30,Sofia_Urban,MDG0404-U,Urban,-15.509463169198657,48.45987514348736,5269.431750804298,29.036961388937282
31,Alaotra-Mangoro_Rural,MDG0501-R,Rural,-17.91043310981936,48.30821442489216,25990.62063542104,20.914181843575868
32,Alaotra-Mangoro_Urban,MDG0501-U,Urban,-18.04465979983079,48.44044076335327,2806.0342803872127,20.914181843575868
33,Analanjirofo_Rural,MDG0502-R,Rural,-16.375328614171334,49.348950075600776,20488.815678543524,19.013096761554046
34,Analanjirofo_Urban,MDG0502-U,Urban,-16.496448340760967,49.47006980219044,2259.2649595106786,19.013096761554046
35,Atsinanana_Rural,MDG0503-R,Rural,-19.089275351970443,48.6758225018412,21250.651591924212,19.902378787891216
36,Atsinanana_Urban,MDG0503-U,Urban,-19.21496475531669,48.80369321162864,2043.858148183268,19.902378787891216
37,Androy_Rural,MDG0601-R,Rural,-24.810204555551387,45.42762226121049,18606.211019222825,18.118548454072513
38,Androy_Urban,MDG0601-U,Urban,-24.925625713002933,45.543043418662215,2051.6735200567523,18.118548454072513
39,Anosy_Rural,MDG0602-R,Rural,-23.97212079504277,46.243362809776,29257.884289622238,22.84406858200605
40,Anosy_Urban,MDG0602-U,Urban,-24.1229959475865,46.3833318216389,3131.8668729180254,22.84406858200605
41,Atsimo-Andrefana_Rural,MDG0603-R,Rural,-23.034521769390693,44.409121980164564,65191.47186988859,33.91484401375729
42,Atsimo-Andrefana_Urban,MDG0603-U,Urban,-23.2505705638502,44.62517077462419,7188.546686415163,33.91484401375729
43,Menabe_Rural,MDG0604-R,Rural,-20.21240638582787,44.87713830405948,46980.89709939401,28.79088954445738
44,Menabe_Urban,MDG0604-U,Urban,-20.39581389243403,45.060545810665545,5180.49926595771,28.79088954445738
