Timestep,Baseline_Avg_Income,Shock_Avg_Income
1,15.1619626777027,15.780838879446
2,15.2303807396382,15.8379195924275
3,15.2716314040465,15.9261324838537
4,58.3364996195331,60.6865556262923
5,15.4906342491555,15.9867344845269
6,15.5164888145873,16.0248086459737
7,15.5616440433396,16.1876731038193
8,59.013972040243,61.3943983997397
9,15.6182756790774,16.3401345984462
10,15.647616264963,16.4048978408041
11,7.43432528863939,7.74968116280466
12,44.0455850323888,43.3757848624394
13,9.10189934870373,8.6971392477736
14,10.1563407646194,9.33742528346793
15,10.5632213876901,9.92472534719002
16,51.425607165973,50.7698733283927
17,12.6142518071878,11.3899590640718
18,14.020350065382,12.4368360055132
19,16.5447043053086,15.6163675018332
20,57.2003734565989,51.8501631184579
21,18.508471180122,19.1967410151836
22,20.1089666512892,21.2421822484265
23,21.042829711063,22.4371300989902
24,64.3855641706871,60.697767430321
25,21.922822612521,22.5612447508598
26,24.2783146247649,24.2649377908214
27,25.3100113326777,25.7770594990728
28,62.0858434833754,61.6457716631622
29,24.3751193699342,25.7284721300861
30,27.8216648091833,28.1352821319233
