Scenario,RR_Count,RU_Count,UR_Count,UU_Count,Total_Count,RR_Percent,RU_Percent,UR_Percent,UU_Percent
Baseline,145,162,140,92,539,26.9016697588126,30.0556586270872,25.974025974026,17.0686456400742
Baseline+PA,148,185,175,62,570,25.9649122807018,32.4561403508772,30.7017543859649,10.8771929824561
Shock_R,155,154,177,102,588,26.3605442176871,26.1904761904762,30.1020408163265,17.3469387755102
Shock_R+PA,145,218,168,74,605,23.9669421487603,36.0330578512397,27.7685950413223,12.2314049586777
Shock_UR,169,178,208,85,640,26.40625,27.8125,32.5,13.28125
Shock_UR+PA,133,207,187,71,598,22.2408026755853,34.6153846153846,31.2709030100334,11.8729096989967
