Scenario,RR_Count,RU_Count,UR_Count,UU_Count,Total_Count,RR_Percent,RU_Percent,UR_Percent,UU_Percent
Baseline_PA,148,185,175,62,570,25.9649122807018,32.4561403508772,30.7017543859649,10.8771929824561
Shock_R_PA (Rural Only),145,218,168,74,605,23.9669421487603,36.0330578512397,27.7685950413223,12.2314049586777
Shock_UR_PA (Urban+Rural),133,207,187,71,598,22.2408026755853,34.6153846153846,31.2709030100334,11.8729096989967
