Timestep,Baseline_PA,Shock_R_PA (Rural Only),Shock_UR_PA (Urban+Rural)
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,21,22,22
7,14,13,18
8,13,11,8
9,13,15,8
10,5,9,11
11,5,5,11
12,15,12,12
13,21,14,16
14,13,19,12
15,23,25,25
16,36,20,26
17,30,30,29
18,25,33,31
19,31,29,34
20,43,48,47
21,36,38,34
22,40,35,32
23,39,44,40
24,60,52,59
25,33,37,30
26,41,43,47
27,45,46,44
28,49,69,55
29,29,36,31
30,39,43,31
31,52,50,45
32,55,63,60
33,30,28,45
34,49,45,39
35,46,41,49
36,55,66,74
37,36,32,37
