Timestep,Baseline_Gini,Shock_Gini
1,0.66340799880014,0.644717971240717
2,0.661637157005804,0.643469295611259
3,0.660297485940404,0.641852579379337
4,0.747987502640049,0.734475906837171
5,0.656806759297264,0.639778590388531
6,0.656060389876707,0.640033948555913
7,0.655502666394968,0.636886046604802
8,0.745317252409549,0.731184540128312
9,0.654798891010904,0.633969281329986
10,0.652769248620767,0.632937981335024
11,0.779868749304027,0.774276871926377
12,0.710610486986105,0.720480747517573
13,0.754008638007662,0.750228997103133
14,0.736307281490067,0.73516643297339
15,0.727473854681607,0.725601928745849
16,0.67748655201908,0.677187822916602
17,0.705888089782674,0.716740911885597
18,0.686828367585555,0.705872238158447
19,0.673083864383385,0.687957935705681
20,0.659689326036683,0.650775147248908
21,0.671147897459383,0.651837083802814
22,0.653489283514258,0.629003766077733
23,0.642459148702117,0.616621424915351
24,0.630648629117963,0.620653827300539
25,0.640346095685305,0.627254524403109
26,0.606727591639565,0.607159902921765
27,0.595342684681192,0.587809034091726
28,0.61081415652503,0.596877158320135
29,0.615139502073765,0.588211437521579
30,0.573614319864771,0.567260979810201
