Timestep,Baseline,Shock_R (Rural Only),Shock_UR (Urban+Rural)
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,22,17,26
7,11,8,13
8,9,5,13
9,12,8,11
10,10,8,6
11,10,6,10
12,15,12,14
13,13,18,14
14,25,19,29
15,20,27,29
16,26,30,27
17,27,37,28
18,34,29,38
19,35,31,29
20,50,43,41
21,36,39,45
22,32,34,37
23,35,39,45
24,39,47,37
25,38,38,38
26,48,49,42
27,38,60,45
28,43,60,58
29,31,39,46
30,43,46,38
31,40,51,45
32,51,66,45
33,29,40,51
34,54,58,48
35,42,50,49
36,46,74,52
37,37,38,47
