Timestep,Control_Mean,Control_Std,Shock_Mean,Shock_Std,PA_Mean,PA_Std,PA_Shock_Mean,PA_Shock_Std
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,9.61376430756038,0.62631628918173,10.614288856305,0.795142964651118,9.96931208250322,0.835552608438318,10.6290433608615,1.65809356425977
12,7.28122564773294,0.912209661032168,7.11662489557226,0.474877466361697,7.06796411183753,0.477860155352129,7.14734232499677,0.632590313207857
13,6.35577790110399,0.699777148589574,6.8655994500714,0.561436273988775,6.00130920216196,0.823561993443233,6.45863440484444,0.606496393140714
14,5.47271945044809,0.664995091574103,6.56447876447876,1.46713919874086,5.6723526765632,0.667627037106411,5.89593863634622,0.643829270449811
15,5.32771267296944,0.671543961699121,5.67710820895522,0.720852141904743,5.30273598903163,0.319693077883864,5.79878904170364,0.436979263706192
16,5.66641986327473,1.00437644383912,5.95219773841381,0.325119013483036,6.35027757982965,0.973535833406458,6.12902415436227,0.387085569998099
17,5.59650431930239,0.903877720417903,5.53581989431494,0.463995603037449,5.26760916327594,0.519706627146716,5.74166340239202,0.321552252516527
18,6.03573758261593,0.372547354496546,5.02798439889513,0.85686963868846,5.56093359666916,0.835803235942133,5.61121070940103,0.433338575128772
19,5.30135044998195,0.745843832596055,5.23343346290472,0.547698187071354,5.08803965728054,0.246561074564457,5.72174953221182,0.481057889642436
20,6.35887009208079,0.458008102772305,6.5499303565624,0.394009472622022,8.04735988872886,0.532485374548936,7.81121093882318,0.371384819929369
21,6.11395324953015,0.603185791628591,5.93218241724921,0.600251187656889,5.52203098605917,0.439341177817902,5.83440341913301,0.580552622260968
22,5.67747116503647,0.610599392700933,5.55051176305006,0.36879859712574,5.31369762122922,0.333024853333272,5.70466367495695,0.2682178500437
23,5.88272984704974,0.354234172813072,5.55192266984289,0.616588271650968,5.45427121495384,0.298028975308792,5.80704708760975,0.966875029181847
24,6.33569952393364,0.437932516851756,6.76113503055066,0.222941199837163,7.37996066311276,0.47687818329839,8.04744006052532,0.640545524188111
25,5.69515170962741,0.399755466573647,5.74248671589848,0.372825432161487,5.65398710332958,0.437071795667466,6.14917029086331,0.541715202577563
26,6.26306639466847,0.874178902760659,6.78547099972084,0.423998564122115,6.1739533918938,0.569468853602088,6.36968610912763,0.356560593717628
27,6.61066437588177,0.814346363159845,6.32862293974136,0.352900855020053,5.51328245634836,0.106682083026293,5.71752766590746,0.540969813814862
28,6.97307709595152,0.233351324853618,6.63886438994461,0.423534771229312,7.7759778171303,0.538813454029846,7.49363959450671,0.425564970461761
29,6.45717579651677,0.444292313835849,6.37456913939846,0.475044415952094,5.82195534571368,0.502962168115399,5.74596432849607,0.508767045538558
30,6.6519270961898,0.539040713687507,6.70166438716803,0.477402162145588,6.06529519612684,0.716657798341451,6.21278223351213,0.476985709607209
