Scenario,RR_Total,RR_Std,RU_Total,RU_Std,UR_Total,UR_Std,UU_Total,UU_Std
Control,331.2,19.5754948851874,825.6,32.3310995791977,509.2,21.487205495364,792.2,55.0154523747647
Shock,357.4,15.5177317930167,789.8,27.4262647839621,482.6,26.9870339237197,755.2,43.5855480635497
PA,367.6,32.2846712853019,761.8,35.4076262971694,477.4,32.6082811567859,682.2,46.9062895569453
PA_Shock,342.2,43.0023255185112,789.8,36.5198576119897,481.4,25.1057762277927,692,44.5926002830066
